memberAddress,DelegateKey,proposalId,proposalIndex,address,blockNumber,vote
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,40,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743735,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,41,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743736,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,42,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743736,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,43,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743746,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,35,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7743746,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,35,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745175,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,36,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745177,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,37,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745179,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,38,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745179,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,39,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745180,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,40,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745181,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,41,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745183,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,42,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745184,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,43,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745186,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,44,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745187,1,
0xfaaE12E4166e499666E94DA41B174AA669A7D79E,0xfaaE12E4166e499666E94DA41B174AA669A7D79E,undefined,34,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7745192,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,46,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751331,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,35,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751334,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,36,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751339,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,37,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751339,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,38,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751339,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,39,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751356,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,40,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751362,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,41,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751370,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,42,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751372,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,43,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751379,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,44,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751379,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,45,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7751382,1,
