QmPwBGy98NARoEcUfuWPgzMdJdiaZub1gVic67DcSs6NZQ,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,3017142.925793838,4432.786985273746,12378570.582220586,1611784226
QmW22zbD56EQkCSb8QvL5iZcUX5bXVdGXBzZ9xGnJmsdVk,0x91212de083d29342F670FB69Ffa68176369e3B20,closed,1218.2769430966043,0,1218.2769430966043,1611743660
QmbiBCS8vv1ssiWMEcHraXVvXJVrfJe258GXCuEj96mXAr,0x07843F1Da93d580AA75a2B6FbC119Fa56849557b,closed,34025.89874479003,118.68310294368968,34144.58184773372,1611704405
QmW7VxtDGkyJ4pC2DAYhAUbWNXMJmfo47kAJzgVJ6vBTsc,0x71e5BA181bde54aAc2244CD209517b245e210042,closed,0,0,0,1611210347
QmYBojkztQbtPiCdYEfAMY4cQd8kyuGHGuaH3kPL6vmXZ9,0x8C254640D1b9d27bF58bF6f6878D1c2647b4E5E7,closed,1928.3494268764136,0,1928.3494268764136,1610266835
QmaJaCuBq26sLR9VWHZjhQUq83g6uNH862KBwiWgRnNPn2,0x8C254640D1b9d27bF58bF6f6878D1c2647b4E5E7,closed,0,0,0,1610246807
QmQbZmBGhBG8jXRkwG9S1BcsCG6r7nT9qhpneCMPSQd7Nb,0x8C254640D1b9d27bF58bF6f6878D1c2647b4E5E7,closed,0,0,0,1610246443
QmfYNxnWf62q988H7c8UzDnsp8XaNwBjjf1JXVSyyngkcf,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,5049008.320109607,13322.10996347424,5062330.4300730815,1609987897
Qmbc6ozDHFQyKtAEfZwH4BKA36RJYvbjdGWVzThUPrf2AA,0x996c5c9EdDcc5244d9216631fDF3E8EC482E765f,closed,67254.66571854158,0,67254.66571854158,1608145188
QmUe9Q3BUHvJgmjENevKAU5hCfsYMU9wozHVnT9aqnuMMx,0x996c5c9EdDcc5244d9216631fDF3E8EC482E765f,closed,0,0,0,1608145039
QmcvdHzLsQ49dMEXi5VMykHYpgE3oVzCMNqGSbehATLmYg,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,15193250.14486971,0,15193250.14486971,1607748418
QmU8oxTvWkXrzgejRkjGot74FmVHR42Pq2VRtnLAYEnJyd,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,6870252.770938196,5613.754757468211,6875866.525695665,1606801296
Qmczqhvmmepe9wwuvw7Uuhk7GKb29Gu5cW73VrLxjG7T1K,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,12908305.447608557,13124418.35109304,26032723.798701975,1606801018
QmUDaXEniNB8NBHnqQM5dmXXsGW8QLgS4jxguhQb2k2CAj,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,51742.53049715554,130158.81574927075,3035713.442488563,1606288687
QmZWRSCQNegKbRMsMSQZmSAaerTNXFoD2A3YvqpbmSyCHm,0xfc2A0dB072b5D91E22a08beBF8909b280A01785F,closed,0,0,0,1606275420
QmYE9CMHXW815Ez2U8G9PCxecm6ryqJWFAQSJUjq6Nu5ip,0xfc2A0dB072b5D91E22a08beBF8909b280A01785F,closed,0,0,0,1606275285
Qma72FtSbiRJj4v4VLNfXXM3xV6N12J1dVfg9x7dFvZVMo,0x58E603d9824976F7a3940C6B408F0Ffa523a216C,closed,0,0,0,1606260319
QmcAYok9eTiRB1ApuiiTD49q7z7JgFwEtGQyVGFhRPFdQW,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,10257503.1216992,0,10257503.121699201,1605733181
Qmajj2U9nM9fCJ6Yo5t3m2E2SdecREF9URW4noUs2Z7wwS,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,49895.43283775082,5718164.364947884,11316428.216040451,1605732035
QmNVpSsNyR5MbMXFg3wNW3cxK8KUSSUYroUxxBF5HKtQsj,0x5bd7Daa872D4e4EBe77420E368C0d683317840bA,closed,0,0,0,1605024296
QmXvC4djfTYjbb9TgYJ3HeoCBoJZuPyhrPMHuqWoVhUydC,0xa4214cab2b92900F82a32Ee881D15a8809F764ee,closed,3923.6757174779914,0,3923.6757174779914,1604002059
QmeV6iDgAmZs3H5Nkh2errBjF2Mtkw9mqSqPFqHaE8fMXb,0x4086E3e1e99a563989a9390faCff553A4f29b6eE,closed,11842577.024592351,1211520.96039744,13054097.98498979,1603452877
QmXPpdqKLv3L3ti5WJVpwQy1tzYz431CNkbcs8uvxuWEoH,0x73Ba2Da99734F0507a01D03B10A168551415cBb7,closed,0,0,0,1603176794
QmWcCAZgdy9hekPiCsGcN5ytbnqrudka9feYtona27N9gw,0x7FaA32b18C874b2eB4B42bC0d0924eFBBed49423,closed,0,0,0,1603013193
QmUFuj1RPpNX4AvVsqzcNXKGCQ1ug5nKixW1ncq4yGV45H,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,7408414.937132987,68388.45975562578,7476803.396888613,1602740456
QmXDb66rDMFxjJXPY72b9iyjSrDtqdMgGL6DDnFTksUnGC,0x4E615efF185e767aCF06780B674A4852ac8d1C72,closed,0,3528.388438477117,3528.388438477117,1602595976
QmWbtqg5am84Z1i13tLx1NsnEth8ikouuUiWoKrw21faqk,0x7A9dbEAd85731D7ec80D28e63aE6bACCA99F948E,closed,0,0,0,1601986903
QmPhM4SXbfihdGaLXJ2TCDNkd4wToptEtPw9Gz64sKeQ8s,0x5d2e1fE7c61a8C69b29e834be08fa3Ded886DCF1,closed,0,0,0,1601920391
QmQ8kiLzGTWH1dbPLqKccRVPeRVy1JiW3HiZXSg6n8brCe,0x587448b57044DF31C66a7051F96E1A34480F4bB4,closed,0,10951.121823384472,10951.121823384472,1601914625
QmQ567b5Bwg6oUb7xqr1bpQ5JDUTHAYAozkUUdrsCfVs1V,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,11612644.290280404,0,11612644.290280405,1601887474
QmXwDpjsnoMKujSANruJiV6W8G7LBQVq6VQK3K39J4azk1,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,7087416.913844838,9967.125693169022,7097384.039538006,1601440747
QmTXmwr3bYKeyLXApZnrtq1uppJBGMRgbacMTtbk9DULL7,0xEdba3A794B15880659b4459E02350C1c73cE2375,closed,0,0,0,1601003695
QmZTwyGgJb7k6RofLJW2hMy2yMaE2p2zyE6hGbdaWHmUUY,0x30a0911731f6eC80c87C4b99f27c254639A3Abcd,closed,20840462.28526317,0,20840462.285263166,1600953081
QmXg8Vq6sNpNWYRvM3GyCQbyDVRk8kRNF3PytGoexrDGgL,0x30a0911731f6eC80c87C4b99f27c254639A3Abcd,closed,6020409.7265776945,1089380.8835062825,10642617.432371492,1600952315
QmRxm2o1QAZb6Xv5qfDPXaRte8v8dFsSZHNs7rc6Tb67Zv,0xCBB6682f949dd8F8ec2C48DE75f952149F0cE490,closed,0,0,0,1600914350
QmVNYANPeQaoxqmh46S2fpR2j8iKa1qW4RxWqT6PuRRafh,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,5582063.389116249,21325.13660601929,5603388.525722268,1600800208
